지역,광역시도,제조사,차종,모델명,국비보조금(만원),지방비보조금(만원),총보조금(만원)
강릉시,강원도,BMW,일반승용,MINI Cooper SE,303,150,453
강릉시,강원도,BMW,일반승용,i4 eDrive40,189,93,282
강릉시,강원도,BMW,일반승용,i4 M50,172,85,257
강릉시,강원도,BMW,일반승용,iX1 xDrive30,154,76,230
강릉시,강원도,BMW,일반승용,i4 eDrive40 LCI,187,92,279
강릉시,강원도,BMW,일반승용,iX2 eDrive20,167,82,249
강릉시,강원도,BMW,일반승용,MINI Countryman SE ALL4,158,78,236
강릉시,강원도,BMW,일반승용,MINI Countryman E,166,82,248
강릉시,강원도,BMW,일반승용,MINI Aceman SE,306,151,457
강릉시,강원도,BMW,일반승용,i4 M50 LCI,177,87,264
강릉시,강원도,BMW,일반승용,MINI JCW Aceman E,151,74,225
강릉시,강원도,BMW,일반승용,MINI JCW E,147,72,219
강릉시,강원도,BMW,일반승용,MINI Aceman E,306,151,457
강릉시,강원도,기아,경·소형,레이 EV 2WD 14인치 4인승 승용,457,211,668
강릉시,강원도,기아,경·소형,레이 EV 2WD 14인치 2인승 밴,457,211,668
강릉시,강원도,기아,경·소형,레이 EV 2WD 14인치 1인승 밴,457,211,668
강릉시,강원도,기아,일반승용,The all-new Kia Niro EV,590,247,837
강릉시,강원도,기아,일반승용,EV9 롱레인지 2WD 19인치,275,136,411
강릉시,강원도,기아,일반승용,EV9 롱레인지 2WD 20인치,273,135,408
강릉시,강원도,기아,일반승용,EV9 롱레인지 4WD 19인치,259,128,387
강릉시,강원도,기아,일반승용,EV9 롱레인지 4WD 21인치,265,131,396
강릉시,강원도,기아,일반승용,EV9 롱레인지 GTL 4WD 21인치,257,127,384
강릉시,강원도,기아,일반승용,더뉴EV6 롱레인지 4WD 20인치,617,269,886
강릉시,강원도,기아,일반승용,더뉴EV6 롱레인지 2WD 20인치,644,282,926
강릉시,강원도,기아,일반승용,더뉴EV6 롱레인지 4WD 19인치,646,283,929
강릉시,강원도,기아,일반승용,더뉴EV6 롱레인지 2WD 19인치,655,288,943
강릉시,강원도,기아,일반승용,EV3 롱레인지 2WD 17인치,565,280,845
강릉시,강원도,기아,일반승용,EV3 롱레인지 2WD 19인치,565,280,845
강릉시,강원도,기아,일반승용,EV3 스탠다드 2WD,479,237,716
강릉시,강원도,기아,일반승용,더뉴EV6 GT,232,115,347
강릉시,강원도,기아,일반승용,더뉴EV6 스탠다드,582,253,835
강릉시,강원도,기아,일반승용,EV9 스탠다드,242,120,362
강릉시,강원도,기아,일반승용,EV4 롱레인지 GTL 2WD 19인치,565,280,845
강릉시,강원도,기아,일반승용,EV4 스탠다드 2WD 19인치,491,243,734
강릉시,강원도,기아,일반승용,EV4 롱레인지 2WD 17인치,565,280,845
강릉시,강원도,기아,일반승용,EV4 롱레인지 2WD 19인치,565,280,845
강릉시,강원도,기아,일반승용,EV4 스탠다드 2WD 17인치,522,259,781
강릉시,강원도,메르세데스벤츠코리아,일반승용,(단종)EQB300 4MATIC(Pre-Facelift)(5인승),152,75,227
강릉시,강원도,메르세데스벤츠코리아,일반승용,(단종)EQB300 4MATIC(Pre-Facelift)(7인승),152,75,227
강릉시,강원도,메르세데스벤츠코리아,일반승용,EQA250(Facelift),190,94,284
강릉시,강원도,메르세데스벤츠코리아,일반승용,EQB300 4MATIC(Facelift)(5인승),154,76,230
강릉시,강원도,메르세데스벤츠코리아,일반승용,EQB300 4MATIC(Facelift)(7인승),154,76,230
강릉시,강원도,볼보자동차코리아,일반승용,볼보 EX30 Single Motor ER,247,122,369
강릉시,강원도,비와이디코리아,일반승용,BYD ATTO 3,145,72,217
강릉시,강원도,쎄보모빌리티,초소형,(단종)CEVO-C SE,200,187,387
강릉시,강원도,케이지모빌리티,일반승용,토레스 EVX 2WD 18인치,373,176,549
강릉시,강원도,케이지모빌리티,일반승용,토레스 EVX 2WD 20인치,356,168,524
강릉시,강원도,케이지모빌리티,일반승용,코란도 EV 2WD,340,168,508
강릉시,강원도,케이지모빌리티,일반승용,토레스 EVX 18인치,364,180,544
강릉시,강원도,케이지모빌리티,일반승용,토레스 EVX 20인치,354,175,529
강릉시,강원도,테슬라코리아,일반승용,(단종)Model 3 RWD(2024),183,90,273
강릉시,강원도,테슬라코리아,일반승용,Model 3 Long Range,202,100,302
강릉시,강원도,테슬라코리아,일반승용,(단종)Model Y RWD,201,83,284
강릉시,강원도,테슬라코리아,일반승용,(단종)Model Y Long Range,184,91,275
강릉시,강원도,테슬라코리아,일반승용,(단종)Model Y Performance,191,94,285
강릉시,강원도,테슬라코리아,일반승용,Model 3 Performance,187,92,279
강릉시,강원도,테슬라코리아,일반승용,(단종)Model Y Long Range 19인치,202,100,302
강릉시,강원도,테슬라코리아,일반승용,Model 3 RWD,186,92,278
강릉시,강원도,테슬라코리아,일반승용,New Model Y Long Range,207,102,309
강릉시,강원도,테슬라코리아,일반승용,New Model Y RWD,188,93,281
강릉시,강원도,폭스바겐그룹코리아,일반승용,(단종)아우디 Q4 40 e-tron,201,99,300
강릉시,강원도,폭스바겐그룹코리아,일반승용,(단종)아우디 Q4 Sportback 40 e-tron,202,100,302
강릉시,강원도,폭스바겐그룹코리아,일반승용,(단종)폭스바겐 2024 ID.4 Pro,422,209,631
강릉시,강원도,폭스바겐그룹코리아,일반승용,(단종)폭스바겐 ID.5 Pro,215,106,321
강릉시,강원도,폭스바겐그룹코리아,일반승용,폭스바겐 ID.4 Pro,422,209,631
강릉시,강원도,폭스바겐그룹코리아,일반승용,아우디 Q4 Sportback 45 e-tron,201,99,300
강릉시,강원도,폭스바겐그룹코리아,일반승용,아우디 Q4 45 e-tron,201,99,300
강릉시,강원도,폭스바겐그룹코리아,일반승용,아우디 Q6 e-tron performance,220,109,329
강릉시,강원도,폴스타오토모티브코리아,일반승용,Polestar 4 Long Range Single Motor,181,89,270
강릉시,강원도,폴스타오토모티브코리아,일반승용,Polestar 4 Long Range Dual Motor,141,70,211
강릉시,강원도,현대자동차,경·소형,캐스퍼 일렉트릭 항속형 17인치,500,231,731
강릉시,강원도,현대자동차,경·소형,캐스퍼 일렉트릭 항속형 15인치,500,231,731
강릉시,강원도,현대자동차,경·소형,캐스퍼 일렉트릭 기본형 15인치,500,231,731
강릉시,강원도,현대자동차,경·소형,캐스퍼 일렉트릭 크로스 17인치,500,231,731
강릉시,강원도,현대자동차,일반승용,GV60 스탠다드 2WD 19인치,287,142,429
강릉시,강원도,현대자동차,일반승용,GV60 스탠다드 AWD 19인치,261,129,390
강릉시,강원도,현대자동차,일반승용,GV60 스탠다드 AWD 20인치,251,124,375
강릉시,강원도,현대자동차,일반승용,GV60 퍼포먼스 AWD 21인치,236,117,353
강릉시,강원도,현대자동차,일반승용,Electrified GV70 AWD 20인치,244,121,365
강릉시,강원도,현대자동차,일반승용,Electrified GV70 AWD 19인치,260,129,389
강릉시,강원도,현대자동차,일반승용,아이오닉6 스탠다드 2WD 18인치,635,261,896
강릉시,강원도,현대자동차,일반승용,아이오닉6 롱레인지 2WD 18인치,686,285,971
강릉시,강원도,현대자동차,일반승용,아이오닉6 롱레인지 2WD 20인치,680,282,962
강릉시,강원도,현대자동차,일반승용,아이오닉6 롱레인지 AWD 18인치,686,285,971
강릉시,강원도,현대자동차,일반승용,아이오닉6 롱레인지 AWD 20인치,647,266,913
강릉시,강원도,현대자동차,일반승용,코나 일렉트릭 2WD 스탠다드 17인치,573,221,794
강릉시,강원도,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 17인치,623,260,883
강릉시,강원도,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 19인치(빌트인 캠),568,232,800
강릉시,강원도,현대자동차,일반승용,아이오닉5 N,232,115,347
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,659,286,945
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 19인치,656,285,941
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 20인치,651,282,933
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 20인치,624,269,893
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 19인치,650,282,932
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 N라인 20인치,633,273,906
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 N라인 20인치,602,258,860
강릉시,강원도,현대자동차,일반승용,Electrified G80 AWD 19인치(2025),275,136,411
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 2WD 스탠다드 19인치,561,244,805
강릉시,강원도,현대자동차,일반승용,Electrified GV70 AWD 20인치(2025),250,124,374
강릉시,강원도,현대자동차,일반승용,Electrified GV70 AWD 19인치(2025),266,132,398
강릉시,강원도,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 17인치(빌트인 캠),623,260,883
강릉시,강원도,현대자동차,일반승용,아이오닉9 성능형 AWD,277,137,414
강릉시,강원도,현대자동차,일반승용,아이오닉9 항속형 AWD,276,137,413
강릉시,강원도,현대자동차,일반승용,아이오닉9 항속형 2WD,279,138,417
강릉시,강원도,현대자동차,일반승용,GV60 퍼포먼스 AWD 21인치(2025),248,123,371
강릉시,강원도,현대자동차,일반승용,GV60 스탠다드 AWD 20인치(2025),266,132,398
강릉시,강원도,현대자동차,일반승용,GV60 스탠다드 AWD 19인치(2025),277,137,414
강릉시,강원도,현대자동차,일반승용,GV60 스탠다드 2WD 19인치(2025),290,144,434
동해시,강원도,BMW,일반승용,MINI Cooper SE,303,150,453
동해시,강원도,BMW,일반승용,i4 eDrive40,189,93,282
동해시,강원도,BMW,일반승용,i4 M50,172,85,257
동해시,강원도,BMW,일반승용,iX1 xDrive30,154,76,230
동해시,강원도,BMW,일반승용,i4 eDrive40 LCI,187,92,279
동해시,강원도,BMW,일반승용,iX2 eDrive20,167,82,249
동해시,강원도,BMW,일반승용,MINI Countryman SE ALL4,158,78,236
동해시,강원도,BMW,일반승용,MINI Countryman E,166,82,248
동해시,강원도,BMW,일반승용,MINI Aceman SE,306,151,457
동해시,강원도,BMW,일반승용,i4 M50 LCI,177,87,264
동해시,강원도,BMW,일반승용,MINI JCW Aceman E,151,74,225
동해시,강원도,BMW,일반승용,MINI JCW E,147,72,219
동해시,강원도,BMW,일반승용,MINI Aceman E,306,151,457
동해시,강원도,기아,경·소형,레이 EV 2WD 14인치 4인승 승용,457,211,668
동해시,강원도,기아,경·소형,레이 EV 2WD 14인치 2인승 밴,457,211,668
동해시,강원도,기아,경·소형,레이 EV 2WD 14인치 1인승 밴,457,211,668
동해시,강원도,기아,일반승용,The all-new Kia Niro EV,590,247,837
동해시,강원도,기아,일반승용,EV9 롱레인지 2WD 19인치,275,136,411
동해시,강원도,기아,일반승용,EV9 롱레인지 2WD 20인치,273,135,408
동해시,강원도,기아,일반승용,EV9 롱레인지 4WD 19인치,259,128,387
동해시,강원도,기아,일반승용,EV9 롱레인지 4WD 21인치,265,131,396
동해시,강원도,기아,일반승용,EV9 롱레인지 GTL 4WD 21인치,257,127,384
동해시,강원도,기아,일반승용,더뉴EV6 롱레인지 4WD 20인치,617,269,886
동해시,강원도,기아,일반승용,더뉴EV6 롱레인지 2WD 20인치,644,282,926
동해시,강원도,기아,일반승용,더뉴EV6 롱레인지 4WD 19인치,646,283,929
동해시,강원도,기아,일반승용,더뉴EV6 롱레인지 2WD 19인치,655,288,943
동해시,강원도,기아,일반승용,EV3 롱레인지 2WD 17인치,565,280,845
동해시,강원도,기아,일반승용,EV3 롱레인지 2WD 19인치,565,280,845
동해시,강원도,기아,일반승용,EV3 스탠다드 2WD,479,237,716
동해시,강원도,기아,일반승용,더뉴EV6 GT,232,115,347
동해시,강원도,기아,일반승용,더뉴EV6 스탠다드,582,253,835
동해시,강원도,기아,일반승용,EV9 스탠다드,242,120,362
동해시,강원도,기아,일반승용,EV4 롱레인지 GTL 2WD 19인치,565,280,845
동해시,강원도,기아,일반승용,EV4 스탠다드 2WD 19인치,491,243,734
동해시,강원도,기아,일반승용,EV4 롱레인지 2WD 17인치,565,280,845
동해시,강원도,기아,일반승용,EV4 롱레인지 2WD 19인치,565,280,845
동해시,강원도,기아,일반승용,EV4 스탠다드 2WD 17인치,522,259,781
동해시,강원도,메르세데스벤츠코리아,일반승용,(단종)EQB300 4MATIC(Pre-Facelift)(5인승),152,0,152
동해시,강원도,메르세데스벤츠코리아,일반승용,(단종)EQB300 4MATIC(Pre-Facelift)(7인승),152,0,152
동해시,강원도,메르세데스벤츠코리아,일반승용,EQA250(Facelift),190,94,284
동해시,강원도,메르세데스벤츠코리아,일반승용,EQB300 4MATIC(Facelift)(5인승),154,76,230
동해시,강원도,메르세데스벤츠코리아,일반승용,EQB300 4MATIC(Facelift)(7인승),154,76,230
동해시,강원도,볼보자동차코리아,일반승용,볼보 EX30 Single Motor ER,247,122,369
동해시,강원도,비와이디코리아,일반승용,BYD ATTO 3,145,72,217
동해시,강원도,쎄보모빌리티,초소형,(단종)CEVO-C SE,200,0,200
동해시,강원도,케이지모빌리티,일반승용,토레스 EVX 2WD 18인치,373,176,549
동해시,강원도,케이지모빌리티,일반승용,토레스 EVX 2WD 20인치,356,168,524
동해시,강원도,케이지모빌리티,일반승용,코란도 EV 2WD,340,168,508
동해시,강원도,케이지모빌리티,일반승용,토레스 EVX 18인치,364,180,544
동해시,강원도,케이지모빌리티,일반승용,토레스 EVX 20인치,354,175,529
동해시,강원도,테슬라코리아,일반승용,(단종)Model 3 RWD(2024),183,0,183
동해시,강원도,테슬라코리아,일반승용,Model 3 Long Range,202,100,302
동해시,강원도,테슬라코리아,일반승용,(단종)Model Y RWD,201,83,284
동해시,강원도,테슬라코리아,일반승용,(단종)Model Y Long Range,184,91,275
