데이터연도,지역,광역시도,제조사,차종,모델명,국비보조금(만원),지방비보조금(만원),총보조금(만원),수집일시
2025,서울특별시,특별시,BMW,일반승용,MINI Cooper SE,303,26,329,2025-07-13 20:18:16
2025,서울특별시,특별시,BMW,일반승용,i4 eDrive40,189,19.2,208.2,2025-07-13 20:18:16
2025,서울특별시,특별시,BMW,일반승용,i4 M50,172,16.8,188.8,2025-07-13 20:18:16
2025,서울특별시,특별시,BMW,일반승용,iX1 xDrive30,154,15.6,169.6,2025-07-13 20:18:16
2025,서울특별시,특별시,BMW,일반승용,i4 eDrive40 LCI,187,19.2,206.2,2025-07-13 20:18:16
2025,서울특별시,특별시,BMW,일반승용,iX2 eDrive20,167,16.8,183.8,2025-07-13 20:18:16
2025,서울특별시,특별시,BMW,일반승용,MINI Countryman SE ALL4,158,13,171,2025-07-13 20:18:16
2025,서울특별시,특별시,BMW,일반승용,MINI Countryman E,166,14,180,2025-07-13 20:18:16
2025,서울특별시,특별시,BMW,일반승용,MINI Aceman SE,306,26,332,2025-07-13 20:18:16
2025,서울특별시,특별시,BMW,일반승용,i4 M50 LCI,177,18,195,2025-07-13 20:18:16
2025,서울특별시,특별시,BMW,일반승용,MINI JCW Aceman E,151,13,164,2025-07-13 20:18:16
2025,서울특별시,특별시,BMW,일반승용,MINI JCW E,147,12,159,2025-07-13 20:18:16
2025,서울특별시,특별시,BMW,일반승용,MINI Aceman E,306,26,332,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,경·소형,레이 EV 2WD 14인치 4인승 승용,457,45.6,502.6,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,경·소형,레이 EV 2WD 14인치 2인승 밴,457,45.6,502.6,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,경·소형,레이 EV 2WD 14인치 1인승 밴,457,45.6,502.6,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,The all-new Kia Niro EV,590,51.6,641.6,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,EV9 롱레인지 2WD 19인치,275,27.6,302.6,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,EV9 롱레인지 2WD 20인치,273,27.6,300.6,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,EV9 롱레인지 4WD 19인치,259,26.4,285.4,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,EV9 롱레인지 4WD 21인치,265,26.4,291.4,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,EV9 롱레인지 GTL 4WD 21인치,257,26.4,283.4,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,더뉴EV6 롱레인지 4WD 20인치,617,55.2,672.2,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,더뉴EV6 롱레인지 2WD 20인치,644,58.8,702.8,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,더뉴EV6 롱레인지 4WD 19인치,646,58.8,704.8,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,더뉴EV6 롱레인지 2WD 19인치,655,60,715,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,EV3 롱레인지 2WD 17인치,565,57.6,622.6,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,EV3 롱레인지 2WD 19인치,565,57.6,622.6,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,EV3 스탠다드 2WD,479,49.2,528.2,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,더뉴EV6 GT,232,24,256,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,더뉴EV6 스탠다드,582,52.8,634.8,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,EV9 스탠다드,242,24,266,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,EV4 롱레인지 GTL 2WD 19인치,565,57.6,622.6,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,EV4 스탠다드 2WD 19인치,491,50.4,541.4,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,EV4 롱레인지 2WD 17인치,565,57.6,622.6,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,EV4 롱레인지 2WD 19인치,565,57.6,622.6,2025-07-13 20:18:16
2025,서울특별시,특별시,기아,일반승용,EV4 스탠다드 2WD 17인치,522,54,576,2025-07-13 20:18:16
